Id,Heading,Politik,Utbildning,Religion,Miljo,Ekonomi,LivsstilFritt,SamhälleKonflikter,Hälsa,Idrott,VetenskapTeknik
1,Fördubbling av statliga återkrav hos Kronofogden,0,0,0,0,1,0,0,0,0,0
2,Hatbrott utreds efter dödade renar vid rally-VM,0,0,0,0,0,0,1,0,0,0
3,Franska VM-stjärnan erkänner: ”Kraschen är mitt fel”,0,0,0,0,0,0,0,0,1,0
4,Hälften av Sveriges lärare har inte övat inför skolattacker,0,1,0,0,0,0,0,0,0,0
5,Inte ens pappa Ford kan rädda superhjältefilmen,0,0,0,0,0,1,0,0,0,0
6,Insändare. Noterat av DN:s läsare den 12 februari,0,0,0,0,0,1,0,0,0,0
7,Sverige femma efter mardrömsstart på VM – fall på första sträckan,0,0,0,0,0,0,0,0,1,0
8,Hegseth: ”Orealistiskt” med Ukrainas tidigare gräns,1,0,0,0,0,0,0,0,0,0
9,Nordnet kan inte utesluta fler obehöriga affärer,0,0,0,0,1,0,0,0,0,0
10,Insändare. Avskaffa underkända betyget F som kan skapa hämndlystnad,0,1,0,0,0,0,0,0,0,0
11,Insändare. Statsministern bör fundera på att ord kan bli kulor,1,0,0,0,0,0,0,0,0,0
12,Insändare. Inför allmän samhällsplikt för alla i övre tonåren,0,0,0,0,0,0,1,0,0,0
13,Regeringen: Lärare ska få genomsöka elevers väskor,1,0,0,0,0,0,0,0,0,0
14,Nathan Shachar: Den arabledare som sviker palestiniernas sak sätter sitt styre på spel,1,0,0,0,0,0,0,0,0,0
15,Fortsatt intensiva skalv runt Grekland – ”Väldigt ovanligt”,0,0,0,1,0,0,0,0,0,0
16,Sprängningar i närområdet kan orsaka psykisk ohälsa,0,0,0,0,0,0,0,1,0,0
17,Poliserna som mötte de anhöriga: ”Det var katastrofläge för alla”,0,0,0,0,0,0,1,0,0,0
18,Aftonbladet och Svenska Dagbladet drar in tjänster,0,0,0,0,1,0,0,0,0,0
19,Annie Reuterskiöld: Vem är rädd för Donald Trump?,1,0,0,0,0,0,0,0,0,0
20,”Det verkligt svåra är ofta bristen på inre struktur”,0,0,0,0,0,0,0,0,0,1
21,Asap Rocky: Jag kommer inte att vittna,0,0,0,0,0,0,1,0,0,0
22,Jacob Lundström: Vem håller inte med om att ”Bullerbyn är död”?,0,0,0,0,0,1,0,0,0,0
23,DN Debatt Repliker. ”Ökad frihet för transpersoner hotar inte kvinnors rättigheter”,1,0,0,0,0,0,0,0,0,0
24,Anonymouse tillbaka i Malmö – konstnärerna bakom träder fram,0,0,0,0,0,1,0,0,0,0
25,Skolinspektionen: Risk för glädjebetyg när företag driver komvux,0,1,0,0,0,0,0,0,0,0
26,Gammal och ny design med wowfaktor,0,0,0,0,0,1,0,0,0,0
27,Röjig metal och lugna ballader – Opeths styrka ligger i mixen,0,0,0,0,0,1,0,0,0,0
28,FI:s uppmaning: Förhandla om boräntan,0,0,0,0,1,0,0,0,0,0
29,Ingen ny prövning för Nesser – fängelsedom står fast,0,0,0,0,0,0,1,0,0,0
30,Regeringen: Stödet till Ukraina är en moralisk plikt,1,0,0,0,0,0,0,0,0,0
31,Johan Esk: Hockeyns Karlsson-reaktion lät som filmfolkets magknip,0,0,0,0,0,0,0,0,1,0
32,Legendarens utmaning – hålla resultatet hemligt för sonen,0,0,0,0,0,0,0,0,1,0
33,Tredje trippen med rikemanssatiren ”The White Lotus” håller stilen,0,0,0,0,0,1,0,0,0,0
34,Grynet Molvig: ”Svenskarna såg oss som underliga troll i toppluva”,0,0,0,0,0,1,0,0,0,0
"35,""Sanna: I väntan på en stinkande, formlös fallos"",0,0,0,0,0,1,0,0,0,0"
36,Var femte ung kvinna utsatt för sexuellt våld,0,0,0,0,0,0,1,0,0,0
37,Skyttetränaren om kritiken inför VM: ”Orättvist”,0,0,0,0,0,0,0,0,1,0
38,Jonas Fröberg: Så luras du på sänkt elpris av flaskhalsinkomsterna,0,0,0,0,1,0,0,0,0,0
"39,""Ludvig Köhler: Samhället är inte översexualiserat, utan överhumorifierat"",0,0,0,0,0,1,0,0,0,0"
40,Polisförbundet: Stöd till poliser måste finnas kvar länge,0,0,0,0,0,0,1,0,0,0
41,Sjuåring isolerad som sexbrottsling – nu backar socialtjänsten,0,0,0,0,0,0,1,0,0,0
42,Elkundernas pengar läggs på hög hos Svenska Kraftnät,0,0,0,0,1,0,0,0,0,0
43,Sverige inte prioriterat terrormål,0,0,0,0,0,0,1,0,0,0
44,WWF: Nytt EU-klimatmål är otillräckligt,0,0,0,1,0,0,0,0,0,0
45,Vill du ha en kram?,0,0,0,0,0,1,0,0,0,0
46,Anna Piper om arvet efter ”röde greven”: Äntligen slut på fideikommiss,0,0,0,0,1,0,0,0,0,0
47,Föll i stormötet – nu hänger ikonens testiklar löst,0,0,0,0,0,0,0,0,1,0
48,Zelenskyj: Redo att byta mark med Ryssland,1,0,0,0,0,0,0,0,0,0
49,Niklas Orrenius: Donald Trump låter som en maffiaboss när han talar till ukrainarna,1,0,0,0,0,0,0,0,0,0
50,Brynäs succé: Tidernas bästa nykomling,0,0,0,0,0,0,0,0,1,0
51,Tung förlust för Örebro i emotionella matchen,0,0,0,0,0,0,0,0,1,0
52,Stanley Cup-mästaren är frisk och kry: ”Väldigt laddad”,0,0,0,0,0,0,0,0,1,0
53,Dembélés show mot Brest – Paris SG vann klart,0,0,0,0,0,0,0,0,1,0
54,Kristersson varnar för spekulationer om motiv: ”Låt polisen arbeta”,1,0,0,0,0,0,0,0,0,0
55,Nathan Shachar: Gazakrisen tar en halsbrytande vändning,1,0,0,0,0,0,0,0,0,0
56,Svensson vinnare i mötet med Gyökeres,0,0,0,0,0,0,0,0,1,0
57,Över 180 gripna i stor razzia mot italiensk maffia,0,0,0,0,0,0,1,0,0,0
58,DN Debatt. ”I den politiska klyftan är det svårt för kärleken att spira”,1,0,0,0,0,0,0,0,0,0
59,Storpolitiskt triangeldrama när Trump hotar Danmark,1,0,0,0,0,0,0,0,0,0
60,Mobilerna ska bort från Brasiliens skolor – ”Som en avgiftning”,0,1,0,0,0,0,0,0,0,0
61,Skytten köpte ammunition och rökgranater i närtid,0,0,0,0,0,0,1,0,0,0
62,Hotet mot Kinas kommunistparti – färre och färre gifter sig,1,0,0,0,0,0,0,0,0,0
63,Ny fotbollsplan tar hälften av Stockholmsparkens yta,0,0,0,0,0,0,1,0,0,0
64,Islamistkonto sprider desinformation om dådet,0,0,0,0,0,0,1,0,0,0
65,Linus Larsson: Elon Musks miljardbud slänger grus i Open AI-maskineriet,0,0,0,0,0,0,0,0,0,1
66,Netanyahu hotar att bryta vapenvilan – ställer ultimatum,0,0,0,0,0,1,0,0,0,0
67,”Rör inte mitt Rambo-vapen” – inifrån SD:s vapenbråk,1,0,0,0,0,0,0,0,0,0
68,Kritik mot regeringens satsning på Malmbanan: ”Sveriges Suezkanal”,1,0,0,0,0,0,0,0,0,0
69,Guide: Sverige bör inte ta några utvisningar,1,0,0,0,0,0,0,0,0,0
70,Zibanejad: ”Tre Kronor har alltid varit en stor grej”,0,0,0,0,0,0,0,0,1,0
71,Salman Rushdie: Jag skrek av smärta,0,0,0,0,0,0,1,0,0,0
72,Efter sjukdomen – Elvira Öberg saknas i VM-premiären: ”Den kom för tidigt”,0,0,0,0,0,0,0,0,1,0
73,Fem kvinnor i 80-årsåldern utsatta för bedrägerier,0,0,0,0,0,0,1,0,0,0
74,Insändare. Noterat av DN:s läsare den 11 februari,0,0,0,0,0,1,0,0,0,0
75,Linn Svahn tillbaka i världscupen – tävlar i Falun,0,0,0,0,0,0,0,0,1,0
76,Insändare. Svar: Effektavgift ger chockhöjd elräkning trots att vi snålar,0,0,0,0,1,0,0,0,0,0
77,Beslut om nytt journalsystem i Region Stockholm skjuts upp,0,0,0,0,0,0,0,1,0,0
78,Superstjärnan Shiffrin ändrade sig – guld värt,0,0,0,0,0,0,0,0,1,0
79,Anna Grönlund: Har stora bröst och rumpor gynnats i evolutionen?,0,0,0,0,0,0,0,0,0,1
80,Såg Christer Strömholm porträtten av transpersoner som botgöring för ungdomens nazism?,0,0,0,0,0,1,0,0,0,0
81,Rikspolischefen backar om motivet: ”Var för avgränsande”,0,0,0,0,0,0,1,0,0,0
82,Dubbla budskap till dövblinda Evelina: ”Som en berg- och dalbana”,0,0,0,0,0,0,0,1,0,0
83,Många saknas när Sverige börjar ladda för fotbolls-EM,0,0,0,0,0,0,0,0,1,0
84,Insändare. Både regering och opposition hycklar efter massmordet,1,0,0,0,0,0,0,0,0,0
85,Anklagades för rasism – fotbollsstjärnan Sam Kerr frias,0,0,0,0,0,0,0,0,1,0
86,Hammarby tar polisens derbybeslut till rätten: ”Blir någon form av riktvärde”,0,0,0,0,0,0,0,0,1,0
87,Svunna drömmar och spöken hemsöker Malmö konsthall,0,0,0,0,0,1,0,0,0,0
88,Sparpaket och nedlagda tidningar – så förändras det svenska medielandskapet,0,0,0,0,1,0,0,0,0,0
89,Must: Vapenvila kan göra Rysslands militär starkare,1,0,0,0,0,0,0,0,0,0
90,Sandra Stiskalo: Tysk polis agerar hysteriskt mot demonstranterna,0,0,0,0,0,0,1,0,0,0
91,Nätkliniken Yazen får kritik för brister i patientsäkerhet,0,0,0,0,0,0,0,1,0,0
92,Supervärvningen i NBA fick stående ovationer i debuten,0,0,0,0,0,0,0,0,1,0
93,Årsjö tog andra raka VM-guldet – överlägsen igen,0,0,0,0,0,0,0,0,1,0
94,Insändare. Inkludera alla barn i skolan för att undvika fler våldsdåd,0,1,0,0,0,0,0,0,0,0
95,Rickard Andersson hyllades i högerextrema Tiktok-klipp,0,0,0,0,0,0,1,0,0,0
96,Insändare. Satsa på kulturen för att vända utvecklingen i vårt land,0,0,0,0,0,1,0,0,0,0
97,Insändare. Förbjud halvautomatiska vapen som inte behövs för jakt,1,0,0,0,0,0,0,0,0,0
98,Jimmie Åkesson: Bra att Jomshof avgick,1,0,0,0,0,0,0,0,0,0
99,Nordnets app öppnad – efter fyra timmars avbrott,0,0,0,0,0,0,1,0,0,0
100,Rubiales: ”Frågade om jag fick kyssa henne”,0,0,0,0,0,0,1,0,0,0
101,DN Debatt Repliker. ”Det måste finnas gränser också för enskilda ministrar”,1,0,0,0,0,0,0,0,0,0
102,Tyst minut för offren i Örebro,0,0,0,0,0,0,1,0,0,0
103,Brist på applåder triggade Yoons beslut,0,0,0,0,0,1,0,0,0,0
104,Hela Sverige tystnade för att hedra offren,0,0,0,0,0,0,1,0,0,0
105,En person gripen för terrorbrott,0,0,0,0,0,0,1,0,0,0
106,IS-kvinna som förslavade barn dömd,0,0,0,0,0,0,1,0,0,0
107,”En bodydouble fungerar som ett mentalt ankare”,0,0,0,0,0,1,0,0,0,0
108,EU svarar på USA:s tullar,0,0,0,0,1,0,0,0,0,0
109,Stockholmskrog stängdes tillfälligt – råttor i köket,0,0,0,0,0,0,0,1,0,0
110,Utmaningen på VM-banorna: Lita inte på vad du ser,0,0,0,0,0,0,0,0,1,0
111,Klartecken för Norrbotniabanan,1,0,0,0,0,0,0,0,0,0
112,Annica Kvint: Snart bor vi i lägenheter utan både fönster och kök,0,0,0,0,0,1,0,0,0,0
113,Ingrosso och Gambino tävlar om Grammis,0,0,0,0,0,1,0,0,0,0
114,Brodern erkände hedersmord – ”pappa tvingade mig”,0,0,0,0,0,0,1,0,0,0
"115,""Bø-brödernas sista dans, svensk revanschjakt och upplagt för Marseljäsen – allt om skidskytte-VM 2025"",0,0,0,0,0,0,0,0,1,0"
116,Nytt nödläge efter grekiska skalv,0,0,0,1,0,0,0,0,0,0
117,Musk: Vilken mening har då demokratin?,1,0,0,0,0,0,0,0,0,0
118,Två av offren i Örebro arbetade på samma äldreboende,0,0,0,0,0,0,1,0,0,0
"119,""""""Olagligt"""" – EU-toppen sågar Trumps Gaza-plan"",1,0,0,0,0,0,0,0,0,0"
120,Misstänkt våldtäkt i badhus – man häktad,0,0,0,0,0,0,1,0,0,0
121,Österrike: Samtal om FPÖ-regering har kollapsat,1,0,0,0,0,0,0,0,0,0
122,Österrike: Samtal om FPÖ-regering har kollapsat,1,0,0,0,0,0,0,0,0,0
123,Hamas i Kairo för samtal om vapenvila,1,0,0,0,0,0,0,0,0,0
124,Våldsamma strider i norra Somalia,0,0,0,0,0,0,1,0,0,0
"125,""Ryssland säger nej till att """"byta"""" mark"",0,0,0,0,0,0,0,0,0,1"
126,Storasyster om det sexuella våldet: ”Olika uppfattning om samtycke”,0,0,0,0,0,0,1,0,0,0
127,Krigsrapporten 12/2,1,0,0,0,0,0,0,0,0,0
128,MP: Olämpligt för lärare söka igenom väskor,1,0,0,0,0,0,0,0,0,0
129,Sverige kan vara i krig om två år,0,0,0,0,0,0,0,0,0,1
130,'Arbogakvinnans' nya vädjan: Allt rasar helt,0,0,0,0,0,0,1,0,0,0
131,Hegseth: Orealistiskt med Ukrainas gamla gräns,1,0,0,0,0,0,0,0,0,0
132,Rickard Andersson i filmklipp: Indraget försörjningsstöd,0,0,0,0,0,0,1,0,0,0
133,Tyska gränskontroller förlängs inför valet,1,0,0,0,0,0,0,0,0,0
134,Syrien: Ny regering på plats i mars,1,0,0,0,0,0,0,0,0,0
135,Skolor ska ges rätt att söka i elevers väskor,0,1,0,0,0,0,0,0,0,0
136,Pressträff om skolsäkerheten,0,1,0,0,0,0,0,0,0,0
137,Anna Kinberg Batra-granskning nomineras i Årets dagstidning,1,0,0,0,0,0,0,0,0,0
138,FN: 1 400 dödades i Bangladesh i somras,0,0,0,0,0,0,0,0,0,1
139,Norsk partiledare pikar Expressen med klädval,0,0,0,0,0,1,0,0,0,0
140,Här får prins Harry ”opassande” presenten,0,0,0,0,0,0,0,0,0,1
141,Man fick ström genom kroppen – allvarligt skadad,0,0,0,0,0,0,0,1,0,0
142,Sekretessavtal för de som återställer Risbergska,1,0,0,0,0,0,0,0,0,0
"143,""Melania Trump, 54, – nu är det hon som bestämmer"",1,0,0,0,0,0,0,0,0,0"
144,Hur mjuk får en stenhård partiledare te sig?,1,0,0,0,0,0,0,0,0,0
145,Nya bilden på prinsessan Ines – med storebröderna,0,0,0,0,0,1,0,0,0,0
146,Utredning om mordet på FN-svenskan läggs ned,0,0,0,0,0,0,1,0,0,0
147,Bedragare utnyttjar massmordet i Örebro,0,0,0,0,0,0,1,0,0,0
148,Anfall mot Gaza då drönare siktades,1,0,0,0,0,0,0,0,0,0
149,Mordet på JFK: 2 400 dokument funna,0,0,0,0,0,0,0,0,0,1
150,Nordiskt toppmöte i Luleå om transporten på väg och järnväg,1,0,0,0,0,0,0,0,0,0
151,Bodensare backar den omtvistade ”mammakorven”,0,0,0,0,0,0,0,0,0,1
152,Hammarös skolchef om nya säkerhetskrav i skollagen: ”Otroligt komplext”,0,0,1,0,0,0,0,0,0,0
153,Anhölls för planer på våldsdåd i Lycksele – har nu släppts fri,0,0,0,0,0,0,1,0,0,0
154,Man åtalas för våldtäkt i Västerås – efter fem år på flykt,0,0,0,0,0,0,1,0,0,0
155,Sebastian Samuelsson föll i kamp om medalj i mixedstafetten,0,0,0,0,0,0,0,0,1,0
156,Man häktad – ska ha våldtagit barn på äventyrsbad i Boden,0,0,0,0,0,0,1,0,0,0
157,Skoterförare körde ner i ravin i Bjurholm – under skotersafari,0,0,0,0,0,0,1,0,0,0
158,SVT sänder live med anledning av Trumps och Musks nedskärningar,1,0,0,0,0,0,0,0,0,0
159,Mardröm med fall för Anna Magnusson på förstasträckan: ”Sjukt tråkigt”,0,0,0,0,0,0,0,0,0,1
160,Tre förskolor i Trosa kan läggas ner – föräldern Johanna: ”Stor rädsla”,0,0,1,0,0,0,0,0,1,0
161,Transportstyrelsen besked: Hinner inte med överklagan innan rallyt,0,0,0,0,0,0,0,0,1,0
162,Efter Europarekordet – Almgren klar för EM,0,0,0,0,0,0,0,0,1,0
163,Öresundsbron stängdes – efter biljakt,0,0,0,0,0,0,1,0,0,0
164,Stockholms stad vill dumpa förorenade massor i skärgården,0,0,0,1,0,0,0,0,0,0
165,Örebroare om bluffinsamlingen: ”Hur lågt kan man sjunka?”,0,0,0,0,0,0,0,0,0,1
166,Så kartläggs massmördarens sista timmar – fångades på bild,0,0,0,0,0,0,1,0,0,0
167,78 avkapade renklövar hittades mellan Åsarna och Klövsjö,0,0,0,0,0,0,1,0,0,0
168,Recension: ”Bridget Jones: Mad about the boy” med Renée Zellweger,0,0,0,0,0,0,0,0,0,1
169,Så pressade terapeuten Adam att berätta om påstådda övergreppen,0,0,0,0,0,0,1,0,0,0
